shipment_id,donor_hospital,donor_lat,donor_lng,organ_type,export_time,recipient_hospital,recipient_lat,recipient_lng,transport_type
1,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Lung,2026-02-13 04:35:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,flight
2,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Heart,2026-02-13 19:45:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,helicopter
3,"West China Hospital (Chengdu, China)",30.65,104.0656,Kidney,2026-02-14 00:03:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,flight
4,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Lung,2026-02-13 16:09:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
5,"West China Hospital (Chengdu, China)",30.65,104.0656,Kidney,2026-02-13 03:16:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,flight
6,"West China Hospital (Chengdu, China)",30.65,104.0656,Heart,2026-02-13 01:53:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,ambulance
7,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Heart,2026-02-14 09:49:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,ambulance
8,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Liver,2026-02-14 01:08:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
9,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Lung,2026-02-14 05:36:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
10,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Heart,2026-02-12 11:09:46,"West China Hospital (Chengdu, China)",30.65,104.0656,ambulance
11,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Kidney,2026-02-12 16:48:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,helicopter
12,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Lung,2026-02-13 23:15:46,Singapore General Hospital (Singapore),1.278,103.834,helicopter
13,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Liver,2026-02-13 23:03:46,Singapore General Hospital (Singapore),1.278,103.834,helicopter
14,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Liver,2026-02-13 19:03:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,flight
15,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Kidney,2026-02-13 05:55:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,ambulance
16,"West China Hospital (Chengdu, China)",30.65,104.0656,Liver,2026-02-13 00:48:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,helicopter
17,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Liver,2026-02-12 18:49:46,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,flight
18,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Lung,2026-02-13 10:31:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,flight
19,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Liver,2026-02-13 03:17:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,flight
20,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Lung,2026-02-12 21:38:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,helicopter
21,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Kidney,2026-02-13 02:43:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,helicopter
22,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Kidney,2026-02-12 12:48:46,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,flight
23,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Kidney,2026-02-12 19:59:46,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,helicopter
24,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Kidney,2026-02-13 15:33:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,ambulance
25,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Lung,2026-02-12 21:37:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,ambulance
26,"West China Hospital (Chengdu, China)",30.65,104.0656,Heart,2026-02-12 23:53:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,helicopter
27,Singapore General Hospital (Singapore),1.278,103.834,Liver,2026-02-14 04:24:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,ambulance
